temporal_cluster_id,edges_before,kept_edges,max_quality,first_query,last_query
0,8,1,0.6596468898032009,0,7
1,1,1,0.678860431816943,8,8
2,2,1,0.6480154914562747,9,10
3,1,1,0.6676052886300643,11,11
4,1,1,0.6489673282012557,12,12
5,4,1,0.6341176054595523,13,16
6,1,1,0.6658264012603254,17,17
7,2,1,0.6229854731873502,18,19
8,1,1,0.6492324084827674,20,20
9,1,1,0.6099224292720461,23,23
10,7,1,0.6306087462444309,24,30
11,1,1,0.6247108924917398,31,31
12,1,1,0.618907098049625,32,32
13,1,1,0.624642053898248,33,33
14,1,1,0.6149644896196773,34,34
15,1,1,0.6441339464413606,35,35
16,1,1,0.6335852095418508,36,36
17,1,1,0.6236827896085138,37,37
18,9,1,0.6248869491591849,38,46
19,1,1,0.6223970227180612,47,47
20,7,1,0.619335498847027,48,54
21,1,1,0.614050889039955,55,55
22,5,1,0.6236878990647601,56,60
23,1,1,0.6196591835790421,61,61
24,17,1,0.6221683715419988,62,78
25,1,1,0.6154171896581392,79,79
26,1,1,0.6168898773251005,80,80
27,1,1,0.612086372716865,81,81
28,4,1,0.6253777356024726,82,85
29,1,1,0.6111481282487037,86,86
30,3,1,0.6279181862451949,87,89
31,1,1,0.6260543407785754,90,90
32,1,1,0.6267376802001043,91,91
33,1,1,0.6397014251263771,92,92
34,1,1,0.6178549360149299,93,93
35,1,1,0.6304698555186095,94,94
36,1,1,0.642006743163744,96,96
37,1,1,0.6094261437513746,97,97
38,1,1,0.6296502938716623,99,99
39,2,1,0.6482197461173588,104,105
40,1,1,0.6204047064734061,108,108
41,1,1,0.6357186050938611,109,109
42,1,1,0.6116859117392582,129,129
43,1,1,0.6195809301294771,141,141
44,4,1,0.6240580223457882,142,145
45,1,1,0.6161265761436509,146,146
46,1,1,0.6202605311085034,147,147
47,1,1,0.6161899048407045,148,148
48,2,1,0.6169362000107456,149,151
49,1,1,0.6153407050035609,152,152
50,1,1,0.6113145669803813,153,153
51,1,1,0.6163178156220286,154,154
52,1,1,0.6096807291937866,155,155
53,1,1,0.6102399049081921,160,160
54,1,1,0.6107710940094605,161,161
55,1,1,0.6126024772507241,163,163
56,1,1,0.6102359739674247,164,164
57,4,1,0.613865960288018,165,168
58,1,1,0.6111648020633806,170,170
59,19,1,0.6840931040868137,175,193
60,7,1,0.6161371792716084,205,212
61,62,1,0.7493432841095745,243,304
62,141,1,0.7116246501330794,324,466
63,3,1,0.6277035395707767,480,482
64,52,1,0.6940297318885271,487,538
65,6,1,0.6274371117908462,542,547
66,83,1,0.7321150251667603,548,630
67,2,1,0.6672368367564444,631,632
68,4,1,0.7148947949822614,633,636
69,2,1,0.6807738495585459,637,638
70,2,1,0.710677219036998,639,640
71,3,1,0.6709109452218296,641,643
72,1,1,0.6918211464438595,644,644
73,1,1,0.6904201698484841,645,645
74,1,1,0.7066129091752023,646,646
75,12,1,0.6754385150173107,647,658
76,1,1,0.6385180467576592,659,659
77,1,1,0.6718632002202978,660,660
78,1,1,0.6313765680362369,661,661
79,57,1,0.6585356229973758,662,720
80,38,1,0.6389307486787777,725,763
81,33,1,0.650421433438587,769,805
82,17,1,0.6653141363611097,816,833
83,7,1,0.6256591958381499,840,846
84,16,1,0.6601643982352962,862,878
85,52,1,0.716523471172095,879,930
86,1,1,0.6579421751015161,931,931
87,3,1,0.6689501824016759,932,934
88,5,1,0.6635377843644836,935,939
89,14,1,0.6581714662384544,940,953
90,1,1,0.633169831442467,954,954
91,12,1,0.6341688471592201,955,966
92,14,1,0.6487266336392299,967,980
93,5,1,0.6509126083306915,990,994
94,13,1,0.6397904077105935,995,1007
95,3,1,0.6179060210418071,1011,1016
96,3,1,0.6302733859116636,1034,1036
97,1,1,0.6118641069406233,1037,1037
98,4,1,0.6423931006260053,1038,1041
99,22,1,0.6666305572407643,1042,1063
100,14,1,0.6424447055003613,1067,1082
101,4,1,0.6428393032110271,1083,1086
102,2,1,0.6285489397373655,1087,1088
103,6,1,0.625724509525892,1089,1096
104,4,1,0.6295802847163245,1109,1114
105,5,1,0.6216299201395598,1118,1122
106,5,1,0.6289796472089101,1130,1135
107,30,1,0.6385726490896373,1139,1170
108,133,1,0.6959393695014101,1176,1313
109,26,1,0.6781697543467935,1316,1341
110,1,1,0.6142009699752522,1348,1348
111,64,1,0.7035806606797284,1352,1416
112,69,1,0.7048106596128224,1421,1491
113,1,1,0.610724682233607,1557,1557
114,5,1,0.623547987532016,1575,1581
115,13,1,0.6649753185672628,1599,1611
116,14,1,0.6369972497395254,1612,1626
117,5,1,0.6188503776670095,1646,1650
118,10,1,0.6191845001695251,1654,1664
119,29,1,0.6593446135743759,1669,1699
120,24,1,0.6446890753246042,1704,1732
121,6,1,0.6248677206280738,1740,1748
122,6,1,0.6297142909567404,1759,1765
123,4,1,0.6170708129492646,1774,1777
124,6,1,0.6301201009260927,1787,1792
125,39,1,0.6947490437548437,1793,1834
126,5,1,0.611406393039068,1958,1965
127,1,1,0.6092279805519679,1966,1966
128,1,1,0.6091130115809686,1967,1967
129,1,1,0.6098413476917764,1968,1968
130,1,1,0.6099861606231913,1971,1971
131,4,1,0.6108309422906499,1972,1975
132,2,1,0.6101436837481364,1976,1977
133,1,1,0.6107661433094668,1979,1979
134,2,1,0.6115774085494342,1980,1981
135,2,1,0.6109455904834075,1983,1984
136,2,1,0.6110451152763645,1985,1986
137,1,1,0.6104611009573749,1987,1987
138,6,1,0.6105887968819529,1989,1995
