query_robot,query_keyframe_id,query_timestamp,candidate_robot,candidate_keyframe_id,candidate_timestamp,SC_rank,SC_score,SC_margin,best_shift,SC_yaw_initialization_deg,GICP_fitness,GICP_inlier_RMSE,GICP_quality,tx,ty,tz,qx,qy,qz,qw,transform_direction,yaw_consistency_error_deg,accepted_before_sanitation,accepted_after_sanitation,temporal_cluster_id,duplicate_status
robot1,5,1.7228942031955197e+18,robot3,92.0,1.7228942556263416e+18,1.0,0.8891443014144897,0.00550311803817749,0.0,0.0,0.887263339070568,0.345058019352254,0.6596468898032009,-0.006473956615158417,-0.006099050969383772,0.00490071764995235,-0.001098270867027336,-0.0007972680767615528,0.0013425814740797158,0.9999981778181908,T_query_from_candidate: p_query = T_query_from_candidate * p_candidate,0.15394894235811307,True,True,0,cluster_representative
robot1,8,1.722894204697365e+18,robot3,119.0,1.7228942691752924e+18,1.0,0.8966119289398193,0.0014441609382629395,0.0,0.0,0.913595166163142,0.3457776051521236,0.678860431816943,-0.024109162058442057,0.12101463666866373,-0.017709365407234924,-0.004860363502878749,0.00411630897699052,-0.003762005802718179,0.9999726397153905,T_query_from_candidate: p_query = T_query_from_candidate * p_candidate,0.43339360953257255,True,True,1,cluster_representative
robot1,9,1.7228942051991864e+18,robot3,87.0,1.7228942531267325e+18,1.0,0.9081543684005737,0.0014200210571289062,0.0,0.0,0.8921911421911422,0.376805267704535,0.6480154914562747,0.011314240396772538,-0.006456760876513843,0.005046411215991044,-0.0011639206653542918,-0.0007921652193826589,0.0010295627097099858,0.9999984788806314,T_query_from_candidate: p_query = T_query_from_candidate * p_candidate,0.11808490333001487,True,True,2,cluster_representative
robot1,11,1.7228942061976712e+18,robot3,119.0,1.7228942691752924e+18,1.0,0.9039719104766846,0.0035092830657958984,0.0,0.0,0.909667673716012,0.3625830849582743,0.6676052886300643,-0.009355635774669142,0.119772144884059,-0.017392689011256443,-0.004812655883997824,0.004021022403583373,-0.003912548178775354,0.9999726804712821,T_query_from_candidate: p_query = T_query_from_candidate * p_candidate,0.45056937686746323,True,True,3,cluster_representative
robot1,12,1.722894206697153e+18,robot3,58.0,1.722894238673414e+18,1.0,0.9114951491355896,0.0008906722068786621,0.0,0.0,0.8738579428234601,0.3465361118340644,0.6489673282012557,-0.0006073576093926982,-0.001596432501910587,0.0026061448726593553,-0.0013127434437036935,-0.0006458515281353627,0.001190392692063453,0.9999982212712647,T_query_from_candidate: p_query = T_query_from_candidate * p_candidate,0.13650610927595608,True,True,4,cluster_representative
robot1,14,1.7228942076972516e+18,robot3,89.0,1.7228942541235507e+18,1.0,0.8910194635391235,0.007862091064453125,0.0,0.0,0.8752900232018561,0.3803275853972284,0.6341176054595523,0.01610599041033606,0.0008810521292584048,0.005558892046039545,-0.001264463318193929,-0.0006363465846880976,0.001296638257953554,0.9999981574606871,T_query_from_candidate: p_query = T_query_from_candidate * p_candidate,0.14867601693740085,True,True,5,cluster_representative
robot1,17,1.7228942091963804e+18,robot3,117.0,1.7228942681244948e+18,1.0,0.8773153424263,0.0012125372886657715,0.0,0.0,0.909505010628606,0.3659791935360746,0.6658264012603254,0.0018830399910705774,0.1215538147449349,-0.017352606140974638,-0.004692439700735645,0.004411106641736595,-0.003848051479453073,0.9999718574278287,T_query_from_candidate: p_query = T_query_from_candidate * p_candidate,0.4433352571527962,True,True,6,cluster_representative
robot1,18,1.7228942096975547e+18,robot3,87.0,1.7228942531267325e+18,1.0,0.873931348323822,0.002117335796356201,0.0,0.0,0.8575174825174825,0.3764646519447837,0.6229854731873502,0.015085600282062836,-0.006230226314097323,0.0017958361478350936,-0.0013822345995427594,-0.0006428241543957456,0.0008515322989736607,0.9999984755475192,T_query_from_candidate: p_query = T_query_from_candidate * p_candidate,0.09768021116829573,True,True,7,cluster_representative
robot1,20,1.7228942106978506e+18,robot3,117.0,1.7228942681244948e+18,1.0,0.8800109028816223,0.008114278316497803,0.0,0.0,0.8697236562405102,0.3396183629727033,0.6492324084827674,-0.06652683900380275,0.12161444539597091,-0.019143986087351406,-0.004994883555395471,0.004342230644087839,-0.0037111305391899553,0.9999712114263204,T_query_from_candidate: p_query = T_query_from_candidate * p_candidate,0.4277573267192736,True,True,8,cluster_representative
robot1,23,1.7228942121956777e+18,robot3,89.0,1.7228942541235507e+18,2.0,0.8869666457176208,0.006004214286804199,0.0,0.0,0.8428074245939675,0.3818272359648654,0.6099224292720461,-0.0026398072752602353,0.00821705497209008,-0.0006515464498400459,-0.0016364373036493675,-0.0009324040253223625,0.0009445336824430068,0.9999977802734402,T_query_from_candidate: p_query = T_query_from_candidate * p_candidate,0.10841044570750569,True,True,9,cluster_representative
robot1,26,1.7228942136956457e+18,robot3,43.0,1.722894231172841e+18,1.0,0.8912750482559204,0.006637454032897949,0.0,0.0,0.8565982404692082,0.3583672056098971,0.6306087462444309,-0.02043611713064206,-0.011684064345134016,0.007656256583229396,-0.0010159862817586225,-0.0006734598928111213,0.0008982296245673064,0.9999988537029378,T_query_from_candidate: p_query = T_query_from_candidate * p_candidate,0.10300797025536212,True,True,10,cluster_representative
robot1,31,1.722894216196345e+18,robot3,23.0,1.7228942211314511e+18,2.0,0.8743505477905273,0.00012445449829101562,0.0,0.0,0.8602941176470589,0.3771075996700889,0.6247108924917398,0.01650600650247249,0.007701072166546141,0.00631968722885256,-0.001062776938145117,-0.0006904355849107412,0.0010523293960199753,0.9999986432024421,T_query_from_candidate: p_query = T_query_from_candidate * p_candidate,0.12067219125569295,True,True,11,cluster_representative
robot1,32,1.7228942166977715e+18,robot3,2.0,1.722894210624275e+18,2.0,0.8891098499298096,0.00012415647506713867,0.0,0.0,0.8578171091445428,0.3860191809849975,0.618907098049625,-0.010706129127909563,-0.0044714029348820955,0.004355750090542858,-0.0014795954488528917,-0.0005815143474374907,0.0012542514535776352,0.9999979497437296,T_query_from_candidate: p_query = T_query_from_candidate * p_candidate,0.1438251777595667,True,True,12,cluster_representative
