query_robot,query_keyframe_id,database_robot,database_keyframe_id,horizontal_distance_m
robot1,0,robot3,0,0.0024321614378133762
robot1,0,robot3,1,0.0024113666337656696
robot1,0,robot3,2,0.004070033411270668
robot1,0,robot3,3,0.0007528258601754812
robot1,0,robot3,4,0.00679541786652673
robot1,0,robot3,5,0.002342700096348809
robot1,0,robot3,6,0.002260375255749902
robot1,0,robot3,7,0.0036694530542614357
robot1,0,robot3,8,0.0037085642616163502
robot1,0,robot3,9,0.0044812737700096646
robot1,0,robot3,10,0.0018075925898108011
robot1,0,robot3,11,0.005249354547844921
robot1,0,robot3,12,0.002599753666703394
robot1,0,robot3,13,0.004749694484139533
robot1,0,robot3,14,0.003727800853856775
robot1,0,robot3,15,0.004520730563851788
robot1,0,robot3,16,0.004988113827860118
robot1,0,robot3,17,0.004816228382775208
robot1,0,robot3,18,0.003653784736201584
robot1,0,robot3,19,0.0024240888844955363
robot1,0,robot3,20,0.004042520309039094
robot1,0,robot3,21,0.0033927068234241753
robot1,0,robot3,22,0.003114741372837929
robot1,0,robot3,23,0.003824792783191829
robot1,0,robot3,24,0.0021397364732907375
robot1,0,robot3,25,0.002542275754740023
robot1,0,robot3,26,0.004140554445599329
robot1,0,robot3,27,0.0037732488189059646
robot1,0,robot3,28,0.001785851700995471
robot1,0,robot3,29,0.0037403356623625893
robot1,0,robot3,30,0.004700725129596745
robot1,0,robot3,31,0.002130803842645001
robot1,0,robot3,32,0.0031733015245166037
robot1,0,robot3,33,0.0004167174823776279
robot1,0,robot3,34,0.002365369337019382
robot1,0,robot3,35,0.003015170127302821
robot1,0,robot3,36,0.005837287733068936
robot1,0,robot3,37,0.0014233237713697177
robot1,0,robot3,38,0.003909255628846749
robot1,0,robot3,39,0.0006716128628849735
robot1,0,robot3,40,0.002820636196684209
robot1,0,robot3,41,0.00413845908377436
robot1,0,robot3,42,0.004176710344965777
robot1,0,robot3,43,0.0035658594523606028
robot1,0,robot3,44,0.0045678347006094045
robot1,0,robot3,45,0.0012303931605759707
robot1,0,robot3,46,0.003032116945003164
robot1,0,robot3,47,0.0043608270993772255
robot1,0,robot3,48,0.004153078856610301
