query_robot,database_robot,query_keyframe_id,valid_overlap_query,positive_count,nearest_positive_distance_m,first_positive_rank,rank1_database_keyframe_id,rank1_sc_score,rank1_gt_distance_m,rank1_best_shift,rank1_is_positive,best_positive_sc_score,retrieval_time_ms
robot3,robot1,0,True,195,0.001361051671340376,1,2,0.8840761184692383,0.004024581165222198,0,True,0.8840761184692383,56.81888898834586
robot3,robot1,1,True,195,0.0002814947798444664,1,3,0.8824746012687683,0.006896932074172597,0,True,0.8824746012687683,43.11387205962092
robot3,robot1,2,True,195,0.0003560709366694945,1,12,0.903518795967102,0.0028515544954301,0,True,0.903518795967102,40.493646054528654
robot3,robot1,3,True,195,0.00025096260628524377,1,1,0.8524200916290283,0.002637824499450647,0,True,0.8524200916290283,41.910876985639334
robot3,robot1,4,True,195,0.0011990440540406216,1,9,0.903630256652832,0.004651169404661211,0,True,0.903630256652832,39.82698207255453
robot3,robot1,5,True,195,0.00016062229636902033,1,2,0.9021590948104858,0.0007680466005386014,0,True,0.9021590948104858,39.676520973443985
robot3,robot1,6,True,195,0.00028954550606747237,1,3,0.8588185906410217,0.009886917070275223,0,True,0.8588185906410217,41.37268802151084
robot3,robot1,7,True,195,0.00022446728101242815,1,3,0.8830484747886658,0.00797760042694932,0,True,0.8830484747886658,39.23409397248179
robot3,robot1,8,True,195,0.000505289726803649,1,12,0.8881164789199829,0.006343387675768172,0,True,0.8881164789199829,38.40412700083107
robot3,robot1,9,True,195,0.00022350827875407828,1,2,0.8844806551933289,0.002547998388665639,0,True,0.8844806551933289,40.276108076795936
robot3,robot1,10,True,195,0.00025575455948594495,1,2,0.8912206292152405,0.00028451277992184434,0,True,0.8912206292152405,38.83561596740037
robot3,robot1,11,True,195,0.00033684092432061027,1,2,0.8816001415252686,0.0033734993590991444,0,True,0.8816001415252686,38.04749401751906
robot3,robot1,12,True,195,0.00012094389474881642,1,12,0.9037481546401978,0.002308628149529285,0,True,0.9037481546401978,37.89868496824056
robot3,robot1,13,True,195,0.00037858302555941525,1,2,0.8937638998031616,0.003196499596292364,0,True,0.8937638998031616,39.69617304392159
robot3,robot1,14,True,195,0.0001020916508619126,1,12,0.8968395590782166,0.0025330967854237563,0,True,0.8968395590782166,37.78086695820093
robot3,robot1,15,True,195,0.00036226643943421756,1,2,0.8938661217689514,0.0035360704819187828,0,True,0.8938661217689514,37.90730191394687
robot3,robot1,16,True,195,0.0006574062082373948,1,2,0.8824670314788818,0.003966626967200466,0,True,0.8824670314788818,39.28562509827316
robot3,robot1,17,True,195,0.0007347464827435276,1,3,0.8747571706771851,0.003976769945658697,0,True,0.8747571706771851,37.34328493010253
robot3,robot1,18,True,195,0.00019323089972717554,1,2,0.8982499837875366,0.0019025848926964445,0,True,0.8982499837875366,37.138168001547456
robot3,robot1,19,True,195,0.0005498242884788869,1,2,0.905284583568573,0.0024507286702813136,0,True,0.905284583568573,37.08933701273054
robot3,robot1,20,True,195,0.0003646849367854546,1,4,0.8713884949684143,0.0017936960972137618,0,True,0.8713884949684143,38.22153899818659
robot3,robot1,21,True,195,0.00023862158360232855,1,2,0.8984374403953552,0.0014530132387711118,0,True,0.8984374403953552,37.12903102859855
robot3,robot1,22,True,195,9.559595023313391e-05,1,12,0.8847586512565613,0.0047547849736094445,0,True,0.8847586512565613,36.993399960920215
robot3,robot1,23,True,195,5.7260912667306385e-05,1,8,0.8817219138145447,0.0021434607336493455,0,True,0.8817219138145447,38.97609596606344
robot3,robot1,24,True,195,0.00031812140786306834,1,2,0.8979159593582153,0.00031852982004640053,0,True,0.8979159593582153,36.9718229630962
robot3,robot1,25,True,195,0.00011834142057571387,1,2,0.8773815035820007,0.0008302654046144727,0,True,0.8773815035820007,37.36029390711337
robot3,robot1,26,True,195,0.00029103273496523254,1,12,0.8987922072410583,0.0027418786241861456,0,True,0.8987922072410583,39.191521005705
robot3,robot1,27,True,195,0.00019358735402396672,1,2,0.894661009311676,0.002029251817142501,0,True,0.894661009311676,36.79654304869473
robot3,robot1,28,True,195,0.0002551168752915332,1,2,0.9000120162963867,0.0014533271154245162,0,True,0.9000120162963867,37.02978102955967
robot3,robot1,29,True,195,0.00023337780076331403,1,12,0.8888933062553406,0.004720055910184152,0,True,0.8888933062553406,36.71454300638288
robot3,robot1,30,True,195,4.218403956052802e-05,1,12,0.90826016664505,0.0026855428048939193,0,True,0.90826016664505,36.64120507892221
robot3,robot1,31,True,195,0.0005007859078266978,1,12,0.8958839178085327,0.0027789047448514037,0,True,0.8958839178085327,39.27419695537537
robot3,robot1,32,True,195,0.00024901897845179674,1,12,0.9029459953308105,0.001969993984862338,0,True,0.9029459953308105,37.10339998360723
robot3,robot1,33,True,195,0.00030630770707039704,1,12,0.9020490646362305,0.005147844001923395,0,True,0.9020490646362305,36.587162991054356
robot3,robot1,34,True,195,7.307835030474415e-05,1,2,0.8967241048812866,0.0005500485390842205,0,True,0.8967241048812866,38.47423300612718
robot3,robot1,35,True,195,4.41551674243705e-05,1,12,0.884508490562439,0.004161302685175166,0,True,0.884508490562439,36.38368903193623
robot3,robot1,36,True,195,0.0006752124167320618,1,2,0.899929404258728,0.004260362016366879,0,True,0.899929404258728,36.5402220049873
robot3,robot1,37,True,195,0.00013936847952685517,1,12,0.9019275307655334,0.005843660756054575,0,True,0.9019275307655334,36.45545896142721
robot3,robot1,38,True,195,0.0006485637548930265,1,2,0.8995797038078308,0.0031433146491659006,0,True,0.8995797038078308,38.47568097990006
robot3,robot1,39,True,195,0.0001422987750734514,1,9,0.8844151496887207,0.004846706760797554,0,True,0.8844151496887207,36.487104021944106
robot3,robot1,40,True,195,9.69360008645852e-05,1,2,0.8946362733840942,0.0008901626565811728,0,True,0.8946362733840942,36.19880601763725
robot3,robot1,41,True,195,0.000329588200985312,1,9,0.896467387676239,0.0013114765622376263,0,True,0.896467387676239,38.10076508671045
robot3,robot1,42,True,195,0.0019252406462083687,1,2,0.8988591432571411,0.004460718115932495,0,True,0.8988591432571411,37.001360091380775
robot3,robot1,43,True,195,0.00014456777963378075,1,12,0.907232940196991,0.003649081970611919,0,True,0.907232940196991,37.50557091552764
robot3,robot1,44,True,195,0.00024589417273628884,1,2,0.9009047746658325,0.002896894440190261,0,True,0.9009047746658325,36.74511204008013
robot3,robot1,45,True,195,0.0005195891510149657,1,2,0.8920072913169861,0.002311065579008621,0,True,0.8920072913169861,38.99711405392736
robot3,robot1,46,True,195,0.000545110102178872,1,12,0.8779180645942688,0.006167466567458033,0,True,0.8779180645942688,36.25961800571531
robot3,robot1,47,True,195,0.0002320003809695098,1,12,0.8997499346733093,0.0018621794548651042,0,True,0.8997499346733093,36.2646410940215
robot3,robot1,48,True,195,0.0002700544843453833,1,2,0.8884415030479431,0.0022391122613935424,0,True,0.8884415030479431,37.592748063616455
robot3,robot1,49,True,195,0.0001985134390598401,1,12,0.8997789025306702,0.0061777850761062,0,True,0.8997789025306702,38.756745983846486
robot3,robot1,50,True,195,0.00025019100662635217,1,12,0.8780677318572998,0.0036874440658891537,0,True,0.8780677318572998,36.02787503041327
robot3,robot1,51,True,195,0.00018287959881166122,1,9,0.8929092884063721,0.0037522384808691043,0,True,0.8929092884063721,36.29284002818167
robot3,robot1,52,True,195,0.0003298615514052639,1,36,0.8756869435310364,0.0004613927046520127,0,True,0.8756869435310364,37.75755094829947
