query_robot,database_robot,query_keyframe_id,valid_overlap_query,positive_count,nearest_positive_distance_m,first_positive_rank,rank1_database_keyframe_id,rank1_sc_score,rank1_gt_distance_m,rank1_best_shift,rank1_is_positive,best_positive_sc_score,retrieval_time_ms,nearest_positive_database_keyframe_id,heading_difference_deg
robot1,robot3,0,True,147,0.0004167174823776279,1,87,0.8870341181755066,0.0038268977391675437,0,True,0.8870341181755066,197.85485602915287,33,0.010106711842212235
robot1,robot3,1,True,147,0.00034504720861629044,1,87,0.8916910290718079,0.0020257012269745034,0,True,0.8916910290718079,178.42211795505136,85,0.007458217851024074
robot1,robot3,2,True,147,0.00028451277992184434,1,87,0.9173474907875061,0.0019697736257644365,0,True,0.9173474907875061,170.08894903119653,10,0.0010133379720684843
robot1,robot3,3,True,147,0.0001951292151074099,1,87,0.8951002955436707,0.006319377335732217,0,True,0.8951002955436707,167.93527698609978,94,0.00034811243418175764
robot1,robot3,4,True,147,1.785675976066152e-05,1,89,0.9102765917778015,0.003151126322221411,0,True,0.9102765917778015,168.6223550932482,86,0.0007417171051145033
robot1,robot3,5,True,147,0.0010159956202173942,1,92,0.8891443014144897,0.0061022398968210555,0,True,0.8891443014144897,163.32152497489005,15,0.0048101735922330136
robot1,robot3,6,True,147,0.0006897193739012751,1,89,0.9061415195465088,0.003996476278602326,0,True,0.9061415195465088,160.4446170385927,71,0.0018168601678496543
robot1,robot3,7,True,147,0.0003390072436233873,1,92,0.8863641619682312,0.0015099997041198145,0,True,0.8863641619682312,159.82473094481975,72,0.009544879221749625
robot1,robot3,8,True,147,0.00018287959881166122,1,119,0.8966119289398193,0.15177609460808297,0,True,0.8966119289398193,161.66924708522856,51,0.0010178836395766666
robot1,robot3,9,True,147,0.0006369493471982877,1,87,0.9081543684005737,0.0013459818449127318,0,True,0.9081543684005737,169.7127080988139,72,0.004375100209898619
robot1,robot3,10,True,147,0.000505289726803649,1,87,0.9057024121284485,0.0025311281698937537,0,True,0.9057024121284485,162.36422397196293,8,0.0033633276908915377
robot1,robot3,11,True,147,0.0006807433173939011,1,119,0.9039719104766846,0.1508400321584873,0,True,0.9039719104766846,158.58749800827354,22,0.007991240011364198
robot1,robot3,12,True,147,0.0006253077343898897,1,58,0.9114951491355896,0.002549489172262484,0,True,0.9114951491355896,158.74985000118613,15,0.00047799937470927034
robot1,robot3,13,True,147,0.00035028927426329566,1,89,0.9089791774749756,0.004680609170756221,0,True,0.9089791774749756,156.63048799615353,29,0.00475138710248757
robot1,robot3,14,True,147,0.00024589417273628884,1,89,0.8910194635391235,0.0033807184820224437,0,True,0.8910194635391235,156.1475289054215,44,0.0005728576539638652
robot1,robot3,15,True,147,0.00048136874436016316,1,87,0.9003051519393921,0.0029363242169309378,0,True,0.9003051519393921,161.94391204044223,3,0.0038789988428504785
robot1,robot3,16,True,147,0.000576710448857322,1,87,0.8948962092399597,0.0018274855663396486,0,True,0.8948962092399597,163.35211403202266,30,0.005205657702674671
robot1,robot3,17,True,147,0.001799620571439892,1,117,0.8773153424263,0.14559554034837147,0,True,0.8773153424263,157.84526302013546,78,0.00016386252227107434
robot1,robot3,18,True,147,0.00013514700863725314,1,87,0.873931348323822,0.0022631160486861006,0,True,0.873931348323822,156.48282691836357,67,0.0007165069938253055
robot1,robot3,19,True,147,0.0001422987750734514,1,87,0.8707319498062134,0.003947585869925358,0,True,0.8707319498062134,155.75804107356817,39,0.004576321053122001
robot1,robot3,20,True,147,0.0006861734079883236,1,117,0.8800109028816223,0.1470704695507529,0,True,0.8800109028816223,152.9755280353129,46,0.0015663137073431699
robot1,robot3,21,True,147,0.0009129144168848438,1,87,0.8915224075317383,0.005005038940797193,0,True,0.8915224075317383,152.602415997535,45,0.001613122494518393
robot1,robot3,22,True,147,0.0002640977827880922,1,89,0.8884679079055786,0.004709263091904346,0,True,0.8884679079055786,156.01448295637965,29,0.0017719026134841442
robot1,robot3,23,True,147,0.0001774697700747412,1,87,0.892970860004425,0.0021460101309556745,0,True,0.892970860004425,154.86972406506538,77,0.001573012925916828
robot1,robot3,24,True,147,9.559595023313391e-05,1,43,0.873127818107605,0.001256332186603836,0,True,0.873127818107605,155.72273905854672,22,0.00262034713367143
robot1,robot3,25,True,147,0.0002553171285199927,1,89,0.8781793117523193,0.0018573828735671334,0,True,0.8781793117523193,155.84088501054794,5,0.01053703354259028
robot1,robot3,26,True,147,0.0005140670034149091,1,43,0.8912750482559204,0.0025679906554479963,0,True,0.8912750482559204,153.4824330592528,65,0.007894159587777949
robot1,robot3,27,True,147,0.00030630770707039704,1,87,0.8727934956550598,0.003660333041868286,0,True,0.8727934956550598,152.92777901049703,33,0.0018640844500623643
robot1,robot3,28,True,147,0.0004231740650045308,1,87,0.8814392685890198,0.002366542628317661,0,True,0.8814392685890198,152.01648499350995,10,0.0009876429402879694
robot1,robot3,29,True,147,0.0012667354776003405,1,43,0.857925295829773,0.003611647956907801,0,True,0.857925295829773,155.28643899597228,88,0.0037811739958897306
robot1,robot3,30,True,147,0.0005262048435053198,1,43,0.8743084073066711,0.0023630843152620527,0,True,0.8743084073066711,153.99680600967258,71,0.0003097043781394859
robot1,robot3,31,True,147,0.0007740495501920717,1,87,0.8744750022888184,0.003168519556483165,0,True,0.8744750022888184,154.02262192219496,70,0.00857278999120581
robot1,robot3,32,True,147,0.000506427487985651,1,87,0.8892340064048767,0.000835969282138163,0,True,0.8892340064048767,155.17191507387906,91,0.003466624090890491
robot1,robot3,33,True,147,0.0006051516045166493,1,43,0.9004230499267578,0.0018839190082686286,0,True,0.9004230499267578,155.86944506503642,71,0.0065053610209986346
robot1,robot3,34,True,147,0.0003868055286250523,1,87,0.8915581107139587,0.0026610881674108116,0,True,0.8915581107139587,151.63399709854275,85,0.006036593144813196
robot1,robot3,35,True,147,0.0006397263329445204,1,87,0.8719053268432617,0.004151127287051407,0,True,0.8719053268432617,154.6972799114883,73,0.001899468737093457
robot1,robot3,36,True,147,0.00012841353479454702,1,4,0.8981166481971741,0.006647954966090284,0,True,0.8981166481971741,153.6404980579391,85,0.017148175939269095
robot1,robot3,37,True,147,0.0007804680205386975,1,43,0.8957335352897644,0.004683350470090141,0,True,0.8957335352897644,158.54610491078347,78,0.016456382272991732
robot1,robot3,38,True,147,0.0002124678296822268,1,87,0.8766417503356934,0.003057341077211517,0,True,0.8766417503356934,160.7965499861166,61,0.00913202449416417
robot1,robot3,39,True,147,0.00028961273368891666,1,89,0.8938626050949097,0.005883467343799379,0,True,0.8938626050949097,155.808566021733,79,0.0037067686335205963
robot1,robot3,40,True,147,0.00025575455948594495,1,87,0.8813591599464417,0.002383974161240632,0,True,0.8813591599464417,154.6411260496825,10,0.005304374436491344
robot1,robot3,41,True,147,0.0004257879998341433,1,87,0.8823246955871582,0.0013385058055147144,0,True,0.8823246955871582,152.83373894635588,91,0.0032825323320651023
robot1,robot3,42,True,147,0.000454067298247365,1,87,0.9000611901283264,0.003195837749974264,0,True,0.9000611901283264,152.72916795220226,63,0.0077505514754818705
robot1,robot3,43,True,147,0.0002498954527866688,1,87,0.8742998838424683,0.000698282089631733,0,True,0.8742998838424683,151.65352798067033,53,0.0030712880597434378
robot1,robot3,44,True,147,0.0002551168752915332,1,87,0.895164966583252,0.003194527430850301,0,True,0.895164966583252,153.18659401964396,28,0.00014061079397720277
robot1,robot3,45,True,147,0.0007347464827435276,1,86,0.8702195882797241,0.0034827606635392315,0,True,0.8702195882797241,152.06721995491534,17,0.00047006267769234
robot1,robot3,46,True,147,0.0001235014768917693,1,87,0.8789567947387695,0.0012201873046051876,0,True,0.8789567947387695,152.99448801670223,68,0.004704505281068805
robot1,robot3,47,True,147,0.0007177934576721425,1,76,0.8757456541061401,0.002848216982910034,0,True,0.8757456541061401,150.7326359860599,9,0.004324364341613318
robot1,robot3,48,True,147,0.0005994406085097613,1,87,0.8823720216751099,0.0023434818796830913,0,True,0.8823720216751099,152.8601049212739,10,0.009961647274593588
robot1,robot3,49,True,147,0.00023337780076331403,1,87,0.8775640726089478,0.0007264734583018808,0,True,0.8775640726089478,151.39985491987318,29,0.0018851756399271835
robot1,robot3,50,True,147,0.0002215610458315597,1,87,0.8736365437507629,0.0021036410525328755,0,True,0.8736365437507629,150.74171195738018,88,0.005116853220300754
robot1,robot3,51,True,147,2.4325897626188627e-05,1,87,0.8862184882164001,0.001765279495737257,0,True,0.8862184882164001,149.90677405148745,71,0.0064624865146925
robot1,robot3,52,True,147,0.00015268657684201574,1,87,0.8848336935043335,0.003432798592098376,0,True,0.8848336935043335,150.02133301459253,73,0.004947818766197543
robot1,robot3,53,True,147,0.00021663566051718358,1,89,0.8780736923217773,0.0019508580906024797,0,True,0.8780736923217773,151.1177170323208,55,0.007169215722086619
robot1,robot3,54,True,147,0.00044933388946458776,1,87,0.8841093182563782,0.0030669519328242567,0,True,0.8841093182563782,151.1086670216173,3,0.0017151764174627715
robot1,robot3,55,True,147,0.0003170640625635417,1,76,0.8807816505432129,0.004262764913365689,0,True,0.8807816505432129,154.45942897349596,71,0.0035178488029430355
robot1,robot3,56,True,147,0.00022434995395183562,1,87,0.8902820348739624,0.001714351864577944,0,True,0.8902820348739624,153.72885100077838,14,0.004538468061070944
robot1,robot3,57,True,147,4.218403956052802e-05,1,87,0.8760363459587097,0.001806920708577202,0,True,0.8760363459587097,153.80351699423045,30,0.00420022001731013
robot1,robot3,58,True,147,0.0004156424513024434,1,87,0.9039338231086731,0.0017760387531446954,0,True,0.9039338231086731,152.76900201570243,71,0.002023928089187166
robot1,robot3,59,True,147,0.00014456777963378075,1,87,0.8795400857925415,0.0004321083513362802,0,True,0.8795400857925415,153.05097005330026,43,2.15281822875113e-05
robot1,robot3,60,True,147,0.00044405101935637706,1,87,0.8912338018417358,0.003341501191361503,0,True,0.8912338018417358,152.92692696675658,84,0.0030634996753917676
robot1,robot3,61,True,147,5.7260912667306385e-05,1,78,0.8848101496696472,0.0061290900860880805,0,True,0.8848101496696472,154.53287900891155,23,0.006203311827107427
robot1,robot3,62,True,147,0.00023862158360232855,1,87,0.8837908506393433,0.0008510884975328344,0,True,0.8837908506393433,152.49481599312276,21,0.004700916759389884
robot1,robot3,63,True,147,0.0003719325463381014,1,88,0.8822467923164368,0.003116870822512644,0,True,0.8822467923164368,152.94478100258857,1,0.006101493821603299
robot1,robot3,64,True,147,0.00023402726774304774,1,87,0.8794505000114441,0.0012120816110286732,0,True,0.8794505000114441,152.02164801303297,68,0.0030180646755297857
robot1,robot3,65,True,147,0.0002814947798444664,1,87,0.8783589601516724,0.0013390092285258295,0,True,0.8783589601516724,153.21629995014518,1,0.0017991647860924331
robot1,robot3,66,True,147,0.00037407430078615484,1,89,0.8772123456001282,0.0027165539290766295,0,True,0.8772123456001282,152.36412500962615,10,0.011107909302182861
robot1,robot3,67,True,147,0.00014270087618164517,1,88,0.8806355595588684,0.002318288348752685,0,True,0.8806355595588684,150.83014802075922,56,0.0005276707678945058
robot1,robot3,68,True,147,0.0004902355382464734,1,87,0.8754575252532959,0.0011591855848847928,0,True,0.8754575252532959,152.71709801163524,29,0.010323673303673786
robot1,robot3,69,True,147,0.0003294723552311447,1,87,0.8820536732673645,0.0019192862543291336,0,True,0.8820536732673645,151.06939803808928,71,0.0097983366222536
robot1,robot3,70,True,147,0.0001020916508619126,1,87,0.8771775960922241,0.0014910647384657953,0,True,0.8771775960922241,149.88751395139843,14,0.002783838986374576
robot1,robot3,71,True,147,0.00022277568079496037,1,87,0.883905291557312,0.0026054587061456924,0,True,0.883905291557312,150.06175497546792,23,0.014976122615735221
robot1,robot3,72,True,147,0.00033684092432061027,1,87,0.902652382850647,0.001086764641247108,0,True,0.902652382850647,149.6627100277692,11,0.005467558900647873
robot1,robot3,73,True,147,0.00039107093588314304,1,87,0.8856412172317505,0.0035924291064254855,0,True,0.8856412172317505,150.51876800134778,28,1.5105649140423338e-06
robot1,robot3,74,True,147,0.000909427438943978,1,87,0.8853341341018677,0.0028843297980037435,0,True,0.8853341341018677,163.60255400650203,36,0.011119136305126176
robot1,robot3,75,True,147,9.69360008645852e-05,1,87,0.8761054277420044,0.0010182341337880837,0,True,0.8761054277420044,167.73068299517035,40,0.0012445116344679263
robot1,robot3,76,True,147,0.0003225878987719143,1,88,0.878531277179718,0.003828079677216906,0,True,0.878531277179718,156.09520499128848,25,0.004632410662850361
robot1,robot3,77,True,147,0.00030033398896159015,1,88,0.8722999691963196,0.0035571304966251147,0,True,0.8722999691963196,152.69361599348485,1,0.004620160533761464
robot1,robot3,78,True,147,0.0003368898038588345,1,87,0.8818211555480957,0.0007782034288048584,0,True,0.8818211555480957,151.8526340369135,40,0.003835480153526305
robot1,robot3,79,True,147,0.0004885315037353461,1,76,0.8783862590789795,0.0009803800266448793,0,True,0.8783862590789795,152.1625539753586,83,0.0030312654799047323
robot1,robot3,80,True,147,0.000422513629872024,1,87,0.8923806548118591,0.001772971602982152,0,True,0.8923806548118591,151.7211199970916,1,0.00727899471982596
robot1,robot3,81,True,147,0.0003318768237235202,1,76,0.8763748407363892,0.002091968317172238,0,True,0.8763748407363892,150.19518602639437,25,0.005079823409403161
robot1,robot3,82,True,147,0.0005992186775184159,1,87,0.8766184449195862,0.0023360748888002383,0,True,0.8766184449195862,150.35490202717483,71,0.00657217220543771
robot1,robot3,83,True,147,0.00015768389607381906,1,87,0.8764867186546326,0.0017059859292854215,0,True,0.8764867186546326,150.17241099849343,30,0.003001597101558673
robot1,robot3,84,True,147,0.0001222239424162819,1,89,0.8952253460884094,0.0024857457620891896,0,True,0.8952253460884094,150.66654095426202,61,0.0021888682919950497
robot1,robot3,85,True,147,0.00023238995494241993,1,89,0.8671238422393799,0.002670606035946454,0,True,0.8671238422393799,150.51168203353882,64,0.002518259810130985
